Age,Attrition,Department,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,YearsAtCompany,AgeGroup,SalaryLevel,YearsGroup,,,,,,,,
35.00,No,Research & Development,2.00,Divorced,11996.00,No,7.00,30-39,High,6+,,,,,,,,
38.00,No,Sales,1.00,Divorced,5605.00,Yes,8.00,30-39,Medium,6+,,,,,,,,
26.00,No,Research & Development,2.00,Divorced,6397.00,No,6.00,20-29,Medium,6+,,,,,,,,
50.00,No,Research & Development,2.00,Divorced,19144.00,No,10.00,50+,High,6+,,,,,,,,
53.00,No,Research & Development,3.00,Married,17584.00,Yes,5.00,50+,High,3-5,,,,,,,,
42.00,No,Sales,3.00,Married,4907.00,No,20.00,40-49,Medium,6+,,,,,,,,
29.00,No,Sales,4.00,Single,4554.00,No,10.00,20-29,Medium,6+,,,,,,,,
55.00,No,Research & Development,4.00,Married,5415.00,Yes,10.00,50+,Medium,6+,,,,,,,,
26.00,No,Research & Development,1.00,Married,4741.00,Yes,5.00,20-29,Medium,3-5,,,,,,,,
37.00,No,Research & Development,4.00,Single,2115.00,No,17.00,30-39,Low,6+,,,,,,,,
44.00,Yes,Research & Development,3.00,Divorced,3161.00,Yes,1.00,40-49,Medium,0-2,,,,,,,,
38.00,No,Research & Development,4.00,Divorced,5745.00,No,2.00,30-39,Medium,0-2,,,,,,,,
26.00,Yes,Research & Development,2.00,Divorced,2373.00,Yes,3.00,20-29,Low,3-5,,,,,,,,
28.00,No,Research & Development,4.00,Single,3310.00,No,5.00,20-29,Medium,3-5,,,,,,,,
49.00,No,Research & Development,1.00,Single,18665.00,Yes,3.00,40-49,High,3-5,,,,,,,,
36.00,No,Research & Development,2.00,Single,4485.00,No,8.00,30-39,Medium,6+,,,,,,,,
31.00,No,Sales,2.00,Divorced,2789.00,No,2.00,30-39,Low,0-2,,,,,,,,
26.00,Yes,Sales,4.00,Single,5828.00,Yes,8.00,20-29,Medium,6+,,,,,,,,
37.00,No,Research & Development,4.00,Married,2326.00,Yes,4.00,30-39,Low,3-5,,,,,,,,
42.00,No,Sales,2.00,Married,13525.00,No,20.00,40-49,High,6+,,,,,,,,
18.00,Yes,Research & Development,3.00,Single,1420.00,No,0.00,20-29,Low,0-2,,,,,,,,
35.00,No,Sales,2.00,Married,8020.00,No,11.00,30-39,High,6+,,,,,,,,
36.00,No,Research & Development,4.00,Married,3688.00,No,1.00,30-39,Medium,0-2,,,,,,,,
51.00,No,Research & Development,2.00,Divorced,5482.00,No,4.00,50+,Medium,3-5,,,,,,,,
41.00,No,Sales,2.00,Single,16015.00,No,22.00,40-49,High,6+,,,,,,,,
18.00,No,Sales,3.00,Single,1200.00,No,0.00,20-29,Low,0-2,,,,,,,,
28.00,No,Research & Development,1.00,Single,5661.00,No,8.00,20-29,Medium,6+,,,,,,,,
31.00,No,Sales,4.00,Married,6929.00,No,8.00,30-39,Medium,6+,,,,,,,,
39.00,No,Research & Development,4.00,Divorced,9613.00,No,18.00,30-39,High,6+,,,,,,,,
36.00,No,Research & Development,2.00,Married,5674.00,No,9.00,30-39,Medium,6+,,,,,,,,
32.00,No,Sales,3.00,Married,5484.00,No,13.00,30-39,Medium,6+,,,,,,,,
38.00,No,Research & Development,2.00,Married,12061.00,No,10.00,30-39,High,6+,,,,,,,,
58.00,No,Research & Development,3.00,Divorced,5660.00,Yes,5.00,50+,Medium,3-5,,,,,,,,
31.00,No,Research & Development,4.00,Married,4821.00,Yes,5.00,30-39,Medium,3-5,,,,,,,,
31.00,No,Human Resources,1.00,Married,6410.00,No,2.00,30-39,Medium,0-2,,,,,,,,
45.00,No,Research & Development,1.00,Divorced,5210.00,No,24.00,40-49,Medium,6+,,,,,,,,
31.00,No,Research & Development,4.00,Divorced,2695.00,Yes,2.00,30-39,Low,0-2,,,,,,,,
33.00,No,Research & Development,2.00,Married,11878.00,No,10.00,30-39,High,6+,,,,,,,,
39.00,No,Research & Development,1.00,Married,17068.00,Yes,21.00,30-39,High,6+,,,,,,,,
43.00,No,Research & Development,4.00,Single,2455.00,No,8.00,40-49,Low,6+,,,,,,,,
49.00,No,Research & Development,3.00,Single,13964.00,Yes,7.00,40-49,High,6+,,,,,,,,
52.00,Yes,Research & Development,2.00,Married,4941.00,No,8.00,50+,Medium,6+,,,,,,,,
27.00,No,Research & Development,2.00,Single,2478.00,Yes,4.00,20-29,Low,3-5,,,,,,,,
32.00,No,Sales,2.00,Married,5228.00,Yes,13.00,30-39,Medium,6+,,,,,,,,
27.00,No,Sales,3.00,Single,4478.00,Yes,5.00,20-29,Medium,3-5,,,,,,,,
31.00,No,Sales,4.00,Divorced,7547.00,No,7.00,30-39,High,6+,,,,,,,,
32.00,No,Research & Development,4.00,Single,5055.00,No,7.00,30-39,Medium,6+,,,,,,,,
28.00,Yes,Research & Development,4.00,Married,3464.00,Yes,3.00,20-29,Medium,3-5,,,,,,,,
30.00,No,Research & Development,4.00,Married,5775.00,No,10.00,30-39,Medium,6+,,,,,,,,
31.00,No,Research & Development,3.00,Married,8943.00,No,10.00,30-39,High,6+,,,,,,,,
39.00,No,Research & Development,4.00,Married,19272.00,No,21.00,30-39,High,6+,,,,,,,,
39.00,Yes,Sales,3.00,Married,5238.00,Yes,1.00,30-39,Medium,0-2,,,,,,,,
33.00,No,Sales,4.00,Single,4682.00,No,7.00,30-39,Medium,6+,,,,,,,,
47.00,No,Research & Development,3.00,Married,18300.00,No,3.00,40-49,High,3-5,,,,,,,,
43.00,No,Research & Development,3.00,Divorced,5257.00,No,9.00,40-49,Medium,6+,,,,,,,,
27.00,No,Sales,2.00,Married,6349.00,Yes,5.00,20-29,Medium,3-5,,,,,,,,
54.00,No,Research & Development,3.00,Single,4869.00,No,4.00,50+,Medium,3-5,,,,,,,,
43.00,No,Research & Development,1.00,Married,9985.00,No,1.00,40-49,High,0-2,,,,,,,,
45.00,No,Research & Development,4.00,Married,3697.00,No,10.00,40-49,Medium,6+,,,,,,,,
40.00,No,Sales,4.00,Married,7457.00,Yes,4.00,40-49,High,3-5,,,,,,,,
29.00,Yes,Research & Development,1.00,Married,2119.00,Yes,7.00,20-29,Low,6+,,,,,,,,
29.00,No,Research & Development,4.00,Single,3983.00,No,3.00,20-29,Medium,3-5,,,,,,,,
30.00,No,Sales,3.00,Divorced,6118.00,No,10.00,30-39,Medium,6+,,,,,,,,
27.00,No,Sales,2.00,Married,6214.00,No,8.00,20-29,Medium,6+,,,,,,,,
37.00,No,Research & Development,4.00,Divorced,6347.00,No,6.00,30-39,Medium,6+,,,,,,,,
38.00,No,Research & Development,4.00,Divorced,11510.00,Yes,11.00,30-39,High,6+,,,,,,,,
31.00,No,Research & Development,4.00,Single,7143.00,Yes,11.00,30-39,High,6+,,,,,,,,
29.00,No,Sales,2.00,Divorced,8268.00,Yes,7.00,20-29,High,6+,,,,,,,,
35.00,No,Research & Development,2.00,Single,8095.00,No,16.00,30-39,High,6+,,,,,,,,
23.00,No,Research & Development,4.00,Divorced,2904.00,No,4.00,20-29,Low,3-5,,,,,,,,
41.00,No,Research & Development,2.00,Single,6032.00,Yes,5.00,40-49,Medium,3-5,,,,,,,,
47.00,No,Sales,3.00,Single,2976.00,No,0.00,40-49,Low,0-2,,,,,,,,
42.00,No,Research & Development,4.00,Single,15992.00,No,1.00,40-49,High,0-2,,,,,,,,
29.00,No,Sales,3.00,Married,4649.00,No,4.00,20-29,Medium,3-5,,,,,,,,
42.00,No,Human Resources,3.00,Divorced,2696.00,Yes,3.00,40-49,Low,3-5,,,,,,,,
32.00,No,Research & Development,2.00,Married,2370.00,No,8.00,30-39,Low,6+,,,,,,,,
48.00,No,Sales,3.00,Married,12504.00,No,0.00,40-49,High,0-2,,,,,,,,
37.00,No,Research & Development,1.00,Divorced,5974.00,Yes,7.00,30-39,Medium,6+,,,,,,,,
30.00,No,Sales,3.00,Married,4736.00,Yes,2.00,30-39,Medium,0-2,,,,,,,,
26.00,No,Sales,3.00,Married,5296.00,No,8.00,20-29,Medium,6+,,,,,,,,
42.00,No,Research & Development,4.00,Single,6781.00,No,1.00,40-49,Medium,0-2,,,,,,,,
21.00,Yes,Sales,2.00,Single,2174.00,Yes,3.00,20-29,Low,3-5,,,,,,,,
36.00,No,Sales,4.00,Single,6653.00,No,1.00,30-39,Medium,0-2,,,,,,,,
36.00,No,Sales,4.00,Married,9699.00,No,13.00,30-39,High,6+,,,,,,,,
57.00,No,Research & Development,3.00,Married,6755.00,No,3.00,50+,Medium,3-5,,,,,,,,
40.00,No,Research & Development,3.00,Married,2213.00,Yes,7.00,40-49,Low,6+,,,,,,,,
21.00,No,Sales,4.00,Single,2610.00,No,3.00,20-29,Low,3-5,,,,,,,,
33.00,Yes,Sales,3.00,Single,2851.00,Yes,1.00,30-39,Low,0-2,,,,,,,,
37.00,No,Research & Development,1.00,Married,3452.00,No,5.00,30-39,Medium,3-5,,,,,,,,
46.00,No,Research & Development,3.00,Married,5258.00,No,1.00,40-49,Medium,0-2,,,,,,,,
41.00,Yes,Sales,2.00,Single,9355.00,No,8.00,40-49,High,6+,,,,,,,,
50.00,No,Research & Development,4.00,Single,10496.00,No,4.00,50+,High,3-5,,,,,,,,
40.00,Yes,Sales,3.00,Married,6380.00,Yes,6.00,40-49,Medium,6+,,,,,,,,
31.00,No,Research & Development,2.00,Single,2657.00,Yes,2.00,30-39,Low,0-2,,,,,,,,
21.00,Yes,Sales,2.00,Single,2716.00,No,1.00,20-29,Low,0-2,,,,,,,,
29.00,No,Research & Development,4.00,Single,2201.00,No,3.00,20-29,Low,3-5,,,,,,,,
35.00,No,Research & Development,2.00,Single,6540.00,No,1.00,30-39,Medium,0-2,,,,,,,,
27.00,No,Research & Development,2.00,Divorced,3816.00,No,5.00,20-29,Medium,3-5,,,,,,,,
28.00,No,Sales,4.00,Single,5253.00,No,7.00,20-29,Medium,6+,,,,,,,,
49.00,No,Research & Development,3.00,Single,10965.00,No,5.00,40-49,High,3-5,,,,,,,,
51.00,No,Sales,4.00,Married,4936.00,No,7.00,50+,Medium,6+,,,,,,,,
36.00,No,Research & Development,3.00,Married,2543.00,No,2.00,30-39,Low,0-2,,,,,,,,
34.00,Yes,Sales,4.00,Single,5304.00,Yes,5.00,30-39,Medium,3-5,,,,,,,,
55.00,No,Research & Development,4.00,Single,16659.00,Yes,5.00,50+,High,3-5,,,,,,,,
24.00,No,Sales,3.00,Divorced,4260.00,Yes,5.00,20-29,Medium,3-5,,,,,,,,
30.00,No,Sales,2.00,Married,2476.00,No,1.00,30-39,Low,0-2,,,,,,,,
26.00,Yes,Research & Development,1.00,Single,3102.00,No,6.00,20-29,Medium,6+,,,,,,,,
22.00,No,Research & Development,2.00,Married,2244.00,No,2.00,20-29,Low,0-2,,,,,,,,
36.00,No,Sales,3.00,Married,7596.00,No,10.00,30-39,High,6+,,,,,,,,
30.00,Yes,Research & Development,4.00,Single,2285.00,Yes,1.00,30-39,Low,0-2,,,,,,,,
37.00,No,Research & Development,1.00,Divorced,3034.00,No,18.00,30-39,Medium,6+,,,,,,,,
40.00,No,Sales,2.00,Divorced,5715.00,No,5.00,40-49,Medium,3-5,,,,,,,,
42.00,No,Research & Development,1.00,Divorced,2576.00,No,5.00,40-49,Low,3-5,,,,,,,,
37.00,No,Research & Development,2.00,Single,4197.00,Yes,1.00,30-39,Medium,0-2,,,,,,,,
43.00,No,Research & Development,2.00,Divorced,14336.00,No,25.00,40-49,High,6+,,,,,,,,
40.00,No,Research & Development,3.00,Married,3448.00,No,1.00,40-49,Medium,0-2,,,,,,,,
54.00,No,Research & Development,1.00,Married,19406.00,No,4.00,50+,High,3-5,,,,,,,,
34.00,No,Sales,3.00,Married,6538.00,No,3.00,30-39,Medium,3-5,,,,,,,,
31.00,No,Research & Development,1.00,Married,4306.00,No,13.00,30-39,Medium,6+,,,,,,,,
43.00,No,Research & Development,4.00,Married,2258.00,No,3.00,40-49,Low,3-5,,,,,,,,
43.00,No,Research & Development,3.00,Divorced,4522.00,Yes,5.00,40-49,Medium,3-5,,,,,,,,
25.00,No,Sales,4.00,Single,4487.00,Yes,5.00,20-29,Medium,3-5,,,,,,,,
37.00,No,Research & Development,3.00,Married,4449.00,Yes,13.00,30-39,Medium,6+,,,,,,,,
31.00,No,Research & Development,1.00,Married,2218.00,No,4.00,30-39,Low,3-5,,,,,,,,
39.00,No,Research & Development,3.00,Divorced,19197.00,Yes,21.00,30-39,High,6+,,,,,,,,
56.00,No,Sales,1.00,Married,13212.00,No,7.00,50+,High,6+,,,,,,,,
30.00,No,Sales,3.00,Single,6577.00,No,5.00,30-39,Medium,3-5,,,,,,,,
41.00,No,Sales,1.00,Married,8392.00,No,10.00,40-49,High,6+,,,,,,,,
28.00,No,Research & Development,1.00,Divorced,4558.00,No,10.00,20-29,Medium,6+,,,,,,,,
25.00,Yes,Research & Development,1.00,Married,4031.00,No,2.00,20-29,Medium,0-2,,,,,,,,
52.00,No,Research & Development,3.00,Married,7969.00,Yes,5.00,50+,High,3-5,,,,,,,,
45.00,No,Research & Development,4.00,Married,2654.00,No,2.00,40-49,Low,0-2,,,,,,,,
52.00,No,Research & Development,4.00,Married,16555.00,No,5.00,50+,High,3-5,,,,,,,,
42.00,No,Research & Development,3.00,Divorced,4556.00,No,5.00,40-49,Medium,3-5,,,,,,,,
30.00,No,Research & Development,4.00,Single,6091.00,No,5.00,30-39,Medium,3-5,,,,,,,,
60.00,No,Research & Development,1.00,Married,19566.00,No,29.00,50+,High,6+,,,,,,,,
46.00,No,Research & Development,3.00,Divorced,4810.00,No,10.00,40-49,Medium,6+,,,,,,,,
42.00,No,Research & Development,4.00,Married,4523.00,No,6.00,40-49,Medium,6+,,,,,,,,
24.00,Yes,Sales,2.00,Single,3202.00,Yes,5.00,20-29,Medium,3-5,,,,,,,,
34.00,Yes,Sales,3.00,Divorced,2351.00,No,2.00,30-39,Low,0-2,,,,,,,,
38.00,No,Research & Development,4.00,Married,1702.00,Yes,1.00,30-39,Low,0-2,,,,,,,,
40.00,No,Sales,3.00,Married,18041.00,No,20.00,40-49,High,6+,,,,,,,,
26.00,No,Research & Development,4.00,Divorced,2886.00,No,3.00,20-29,Low,3-5,,,,,,,,
30.00,No,Research & Development,4.00,Married,2097.00,No,5.00,30-39,Low,3-5,,,,,,,,
29.00,No,Research & Development,3.00,Married,11935.00,No,10.00,20-29,High,6+,,,,,,,,
29.00,Yes,Research & Development,2.00,Married,2546.00,No,2.00,20-29,Low,0-2,,,,,,,,
19.00,Yes,Human Resources,4.00,Single,2564.00,No,1.00,20-29,Low,0-2,,,,,,,,
30.00,No,Sales,1.00,Married,8412.00,No,9.00,30-39,High,6+,,,,,,,,
57.00,No,Sales,4.00,Divorced,14118.00,No,1.00,50+,High,0-2,,,,,,,,
50.00,No,Research & Development,3.00,Married,17046.00,No,27.00,50+,High,6+,,,,,,,,
30.00,No,Research & Development,4.00,Single,2564.00,No,11.00,30-39,Low,6+,,,,,,,,
60.00,No,Sales,1.00,Married,10266.00,No,18.00,50+,High,6+,,,,,,,,
47.00,No,Research & Development,4.00,Divorced,5070.00,No,5.00,40-49,Medium,3-5,,,,,,,,
46.00,No,Research & Development,3.00,Married,17861.00,No,3.00,40-49,High,3-5,,,,,,,,
35.00,No,Research & Development,3.00,Single,4230.00,No,5.00,30-39,Medium,3-5,,,,,,,,
54.00,No,Research & Development,3.00,Single,3780.00,No,1.00,50+,Medium,0-2,,,,,,,,
34.00,No,Research & Development,3.00,Divorced,2768.00,No,7.00,30-39,Low,6+,,,,,,,,
46.00,No,Sales,4.00,Married,9071.00,Yes,3.00,40-49,High,3-5,,,,,,,,
31.00,No,Research & Development,2.00,Divorced,10648.00,No,13.00,30-39,High,6+,,,,,,,,
33.00,Yes,Research & Development,3.00,Married,13610.00,Yes,7.00,30-39,High,6+,,,,,,,,
33.00,Yes,Research & Development,4.00,Divorced,3408.00,No,4.00,30-39,Medium,3-5,,,,,,,,
30.00,No,Sales,2.00,Single,2983.00,No,3.00,30-39,Low,3-5,,,,,,,,
35.00,No,Research & Development,3.00,Married,7632.00,Yes,8.00,30-39,High,6+,,,,,,,,
31.00,Yes,Research & Development,3.00,Married,9824.00,No,1.00,30-39,High,0-2,,,,,,,,
34.00,Yes,Human Resources,1.00,Divorced,9950.00,Yes,3.00,30-39,High,3-5,,,,,,,,
42.00,No,Research & Development,3.00,Married,2093.00,No,2.00,40-49,Low,0-2,,,,,,,,
36.00,No,Sales,4.00,Single,9980.00,No,10.00,30-39,High,6+,,,,,,,,
22.00,Yes,Research & Development,3.00,Single,3894.00,No,2.00,20-29,Medium,0-2,,,,,,,,
48.00,No,Sales,4.00,Married,4051.00,No,9.00,40-49,Medium,6+,,,,,,,,
55.00,No,Sales,2.00,Single,16835.00,No,10.00,50+,High,6+,,,,,,,,
41.00,No,Sales,4.00,Single,6230.00,No,14.00,40-49,Medium,6+,,,,,,,,
35.00,No,Sales,3.00,Married,4717.00,No,11.00,30-39,Medium,6+,,,,,,,,
40.00,No,Research & Development,3.00,Single,13237.00,No,20.00,40-49,High,6+,,,,,,,,
39.00,No,Research & Development,3.00,Married,3755.00,No,8.00,30-39,Medium,6+,,,,,,,,
31.00,No,Sales,4.00,Single,6582.00,Yes,6.00,30-39,Medium,6+,,,,,,,,
42.00,No,Research & Development,1.00,Married,7406.00,Yes,10.00,40-49,High,6+,,,,,,,,
45.00,No,Sales,2.00,Married,4805.00,No,8.00,40-49,Medium,6+,,,,,,,,
26.00,Yes,Human Resources,3.00,Divorced,2741.00,Yes,7.00,20-29,Low,6+,,,,,,,,
29.00,No,Research & Development,4.00,Divorced,4262.00,No,3.00,20-29,Medium,3-5,,,,,,,,
33.00,No,Research & Development,3.00,Divorced,16184.00,No,6.00,30-39,High,6+,,,,,,,,
31.00,No,Sales,4.00,Divorced,11557.00,No,5.00,30-39,High,3-5,,,,,,,,
18.00,Yes,Sales,2.00,Single,1878.00,Yes,0.00,20-29,Low,0-2,,,,,,,,
40.00,No,Sales,1.00,Divorced,10932.00,No,1.00,40-49,High,0-2,,,,,,,,
41.00,No,Research & Development,3.00,Single,6811.00,Yes,8.00,40-49,Medium,6+,,,,,,,,
26.00,No,Sales,3.00,Divorced,4306.00,No,0.00,20-29,Medium,0-2,,,,,,,,
35.00,No,Sales,3.00,Single,4859.00,No,5.00,30-39,Medium,3-5,,,,,,,,
34.00,No,Sales,4.00,Single,5337.00,No,10.00,30-39,Medium,6+,,,,,,,,
26.00,Yes,Research & Development,4.00,Single,2340.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
37.00,No,Research & Development,4.00,Single,7491.00,No,6.00,30-39,High,6+,,,,,,,,
46.00,No,Research & Development,3.00,Married,10527.00,No,2.00,40-49,High,0-2,,,,,,,,
41.00,No,Sales,1.00,Married,16595.00,No,18.00,40-49,High,6+,,,,,,,,
37.00,No,Sales,2.00,Divorced,8834.00,No,9.00,30-39,High,6+,,,,,,,,
52.00,No,Research & Development,1.00,Divorced,5577.00,Yes,10.00,50+,Medium,6+,,,,,,,,
32.00,Yes,Sales,3.00,Married,4707.00,No,4.00,30-39,Medium,3-5,,,,,,,,
24.00,No,Sales,4.00,Married,2400.00,No,2.00,20-29,Low,0-2,,,,,,,,
38.00,No,Research & Development,3.00,Married,9824.00,No,1.00,30-39,High,0-2,,,,,,,,
37.00,No,Research & Development,2.00,Married,6447.00,No,6.00,30-39,Medium,6+,,,,,,,,
49.00,No,Research & Development,3.00,Divorced,19502.00,Yes,31.00,40-49,High,6+,,,,,,,,
24.00,No,Research & Development,4.00,Married,2725.00,Yes,6.00,20-29,Low,6+,,,,,,,,
26.00,No,Sales,2.00,Married,6272.00,No,5.00,20-29,Medium,3-5,,,,,,,,
24.00,No,Research & Development,2.00,Married,2127.00,No,1.00,20-29,Low,0-2,,,,,,,,
50.00,No,Human Resources,2.00,Married,18200.00,No,32.00,50+,High,6+,,,,,,,,
25.00,No,Sales,3.00,Married,2096.00,No,7.00,20-29,Low,6+,,,,,,,,
24.00,Yes,Research & Development,3.00,Married,2886.00,Yes,6.00,20-29,Low,6+,,,,,,,,
30.00,Yes,Sales,1.00,Married,2033.00,No,1.00,30-39,Low,0-2,,,,,,,,
34.00,No,Research & Development,4.00,Married,3622.00,Yes,6.00,30-39,Medium,6+,,,,,,,,
31.00,Yes,Sales,1.00,Divorced,4233.00,No,3.00,30-39,Medium,3-5,,,,,,,,
35.00,No,Research & Development,4.00,Single,3681.00,No,3.00,30-39,Medium,3-5,,,,,,,,
31.00,No,Sales,4.00,Divorced,5460.00,No,7.00,30-39,Medium,6+,,,,,,,,
27.00,No,Research & Development,3.00,Divorced,2187.00,No,5.00,20-29,Low,3-5,,,,,,,,
37.00,No,Sales,3.00,Married,9602.00,Yes,3.00,30-39,High,3-5,,,,,,,,
20.00,No,Research & Development,2.00,Single,2836.00,No,1.00,20-29,Low,0-2,,,,,,,,
42.00,No,Research & Development,4.00,Married,4089.00,No,10.00,40-49,Medium,6+,,,,,,,,
43.00,No,Research & Development,4.00,Divorced,16627.00,Yes,1.00,40-49,High,0-2,,,,,,,,
38.00,No,Research & Development,1.00,Single,2619.00,No,0.00,30-39,Low,0-2,,,,,,,,
43.00,No,Research & Development,3.00,Divorced,5679.00,Yes,8.00,40-49,Medium,6+,,,,,,,,
48.00,No,Research & Development,1.00,Married,15402.00,No,3.00,40-49,High,3-5,,,,,,,,
44.00,No,Human Resources,3.00,Single,5985.00,No,2.00,40-49,Medium,0-2,,,,,,,,
34.00,No,Sales,3.00,Divorced,2579.00,Yes,8.00,30-39,Low,6+,,,,,,,,
27.00,Yes,Sales,1.00,Divorced,3041.00,No,4.00,20-29,Medium,3-5,,,,,,,,
21.00,No,Sales,3.00,Single,3447.00,No,3.00,20-29,Medium,3-5,,,,,,,,
44.00,No,Research & Development,4.00,Married,19513.00,Yes,2.00,40-49,High,0-2,,,,,,,,
22.00,No,Research & Development,3.00,Married,2773.00,No,2.00,20-29,Low,0-2,,,,,,,,
33.00,No,Sales,3.00,Divorced,7104.00,No,5.00,30-39,High,3-5,,,,,,,,
32.00,No,Research & Development,4.00,Married,6322.00,Yes,6.00,30-39,Medium,6+,,,,,,,,
30.00,No,Research & Development,3.00,Divorced,2083.00,No,1.00,30-39,Low,0-2,,,,,,,,
53.00,No,Sales,1.00,Single,8381.00,No,14.00,50+,High,6+,,,,,,,,
34.00,No,Research & Development,4.00,Married,2691.00,No,10.00,30-39,Low,6+,,,,,,,,
45.00,Yes,Sales,1.00,Married,4286.00,No,1.00,40-49,Medium,0-2,,,,,,,,
26.00,No,Research & Development,4.00,Married,2659.00,Yes,3.00,20-29,Low,3-5,,,,,,,,
37.00,No,Research & Development,3.00,Married,9434.00,No,10.00,30-39,High,6+,,,,,,,,
29.00,No,Sales,3.00,Married,5561.00,No,6.00,20-29,Medium,6+,,,,,,,,
35.00,No,Research & Development,4.00,Single,6646.00,No,17.00,30-39,Medium,6+,,,,,,,,
33.00,No,Research & Development,4.00,Divorced,7725.00,No,13.00,30-39,High,6+,,,,,,,,
54.00,No,Human Resources,2.00,Married,10725.00,No,9.00,50+,High,6+,,,,,,,,
36.00,No,Research & Development,2.00,Divorced,8847.00,Yes,3.00,30-39,High,3-5,,,,,,,,
27.00,No,Research & Development,4.00,Single,2045.00,No,4.00,20-29,Low,3-5,,,,,,,,
20.00,Yes,Research & Development,3.00,Single,1009.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
33.00,Yes,Research & Development,1.00,Single,3348.00,Yes,10.00,30-39,Medium,6+,,,,,,,,
35.00,No,Research & Development,3.00,Married,1281.00,No,1.00,30-39,Low,0-2,,,,,,,,
23.00,No,Research & Development,1.00,Married,2819.00,No,3.00,20-29,Low,3-5,,,,,,,,
25.00,No,Sales,2.00,Married,4851.00,No,3.00,20-29,Medium,3-5,,,,,,,,
38.00,No,Sales,4.00,Single,4028.00,No,7.00,30-39,Medium,6+,,,,,,,,
29.00,No,Research & Development,4.00,Divorced,2720.00,No,10.00,20-29,Low,6+,,,,,,,,
48.00,No,Sales,2.00,Married,8120.00,No,2.00,40-49,High,0-2,,,,,,,,
27.00,No,Sales,4.00,Divorced,4647.00,Yes,6.00,20-29,Medium,6+,,,,,,,,
37.00,No,Research & Development,4.00,Single,4680.00,No,1.00,30-39,Medium,0-2,,,,,,,,
50.00,No,Research & Development,3.00,Married,3221.00,Yes,20.00,50+,Medium,6+,,,,,,,,
34.00,No,Research & Development,2.00,Single,8621.00,No,8.00,30-39,High,6+,,,,,,,,
24.00,Yes,Sales,3.00,Single,4577.00,No,2.00,20-29,Medium,0-2,,,,,,,,
39.00,No,Research & Development,3.00,Single,4553.00,No,20.00,30-39,Medium,6+,,,,,,,,
32.00,No,Sales,4.00,Single,5396.00,No,10.00,30-39,Medium,6+,,,,,,,,
50.00,Yes,Sales,3.00,Married,6796.00,Yes,4.00,50+,Medium,3-5,,,,,,,,
38.00,No,Research & Development,4.00,Single,7625.00,No,9.00,30-39,High,6+,,,,,,,,
27.00,No,Research & Development,1.00,Married,7412.00,No,9.00,20-29,High,6+,,,,,,,,
32.00,No,Research & Development,4.00,Single,11159.00,No,7.00,30-39,High,6+,,,,,,,,
47.00,No,Sales,1.00,Single,4960.00,No,7.00,40-49,Medium,6+,,,,,,,,
40.00,No,Sales,1.00,Married,10475.00,Yes,18.00,40-49,High,6+,,,,,,,,
53.00,No,Research & Development,3.00,Married,14814.00,No,5.00,50+,High,3-5,,,,,,,,
41.00,No,Human Resources,4.00,Divorced,19141.00,No,21.00,40-49,High,6+,,,,,,,,
60.00,No,Sales,1.00,Single,5405.00,No,2.00,50+,Medium,0-2,,,,,,,,
27.00,No,Research & Development,1.00,Divorced,8793.00,No,9.00,20-29,High,6+,,,,,,,,
41.00,No,Human Resources,3.00,Married,19189.00,No,22.00,40-49,High,6+,,,,,,,,
50.00,No,Sales,2.00,Married,3875.00,No,2.00,50+,Medium,0-2,,,,,,,,
28.00,Yes,Research & Development,2.00,Single,2216.00,Yes,7.00,20-29,Low,6+,,,,,,,,
36.00,No,Research & Development,1.00,Married,11713.00,No,8.00,30-39,High,6+,,,,,,,,
38.00,No,Research & Development,3.00,Single,7861.00,Yes,1.00,30-39,High,0-2,,,,,,,,
44.00,No,Research & Development,3.00,Single,3708.00,No,5.00,40-49,Medium,3-5,,,,,,,,
47.00,No,Sales,3.00,Divorced,13770.00,Yes,22.00,40-49,High,6+,,,,,,,,
30.00,No,Sales,4.00,Divorced,5304.00,No,8.00,30-39,Medium,6+,,,,,,,,
29.00,No,Sales,3.00,Single,2642.00,No,1.00,20-29,Low,0-2,,,,,,,,
42.00,Yes,Research & Development,3.00,Divorced,2759.00,Yes,2.00,40-49,Low,0-2,,,,,,,,
43.00,No,Sales,4.00,Married,6804.00,No,2.00,40-49,Medium,0-2,,,,,,,,
34.00,No,Research & Development,3.00,Single,6142.00,No,5.00,30-39,Medium,3-5,,,,,,,,
23.00,No,Research & Development,1.00,Married,2500.00,No,4.00,20-29,Low,3-5,,,,,,,,
39.00,No,Human Resources,2.00,Married,6389.00,No,8.00,30-39,Medium,6+,,,,,,,,
56.00,No,Research & Development,4.00,Married,11103.00,No,10.00,50+,High,6+,,,,,,,,
40.00,No,Research & Development,4.00,Single,2342.00,Yes,4.00,40-49,Low,3-5,,,,,,,,
27.00,No,Research & Development,1.00,Single,6811.00,No,7.00,20-29,Medium,6+,,,,,,,,
29.00,No,Sales,2.00,Divorced,2297.00,No,2.00,20-29,Low,0-2,,,,,,,,
53.00,No,Research & Development,4.00,Single,2450.00,No,2.00,50+,Low,0-2,,,,,,,,
35.00,No,Research & Development,1.00,Divorced,5093.00,No,1.00,30-39,Medium,0-2,,,,,,,,
32.00,No,Research & Development,4.00,Married,5309.00,No,10.00,30-39,Medium,6+,,,,,,,,
